Distance_(pixels);Gray_Value;X_Fit:_Gaussian;Fit:_Gaussian
910;111.333;1077.608;101.1842
911;111.333;1078.792;101.1842
912;111.066;1079.976;101.1842
913;111.000;1081.160;101.1842
914;111.000;1082.344;101.1842
915;111.000;1083.529;101.1842
916;111.000;1084.713;101.1842
917;110.858;1085.897;101.1842
918;110.644;1087.081;101.1842
919;110.333;1088.265;101.1842
920;110.333;1089.449;101.1842
921;110.333;1090.634;101.1842
922;110.333;1091.818;101.1842
923;110.333;1093.002;101.1842
924;110.333;1094.186;101.1842
925;109.989;1095.370;101.1842
926;109.891;1096.555;101.1842
927;110.181;1097.739;101.1842
928;110.333;1098.923;101.1842
929;110.293;1100.107;101.1842
930;110.000;1101.291;101.1842
931;110.000;1102.475;101.1842
932;110.000;1103.660;101.1842
933;110.000;1104.844;101.1842
934;109.791;1106.028;101.1842
935;109.420;1107.212;101.1842
936;108.563;1108.396;101.1842
937;108.000;1109.581;101.1842
938;108.000;1110.765;101.1842
939;108.000;1111.949;101.1842
940;108.000;1113.133;101.1842
941;108.000;1114.317;101.1842
942;108.000;1115.501;101.1842
943;107.755;1116.686;101.1842
944;107.667;1117.870;101.1842
945;108.205;1119.054;101.1842
946;108.667;1120.238;101.1842
947;108.667;1121.422;101.1842
948;108.667;1122.607;101.1842
949;108.447;1123.791;101.1842
950;108.157;1124.975;101.1842
951;108.000;1126.159;101.1842
952;108.000;1127.343;101.1842
953;108.000;1128.528;101.1842
954;107.783;1129.712;101.1842
955;107.341;1130.896;101.1842
956;107.333;1132.080;101.1842
957;106.982;1133.264;101.1842
958;106.333;1134.448;101.1842
959;106.383;1135.633;101.1842
960;106.388;1136.817;101.1842
961;107.289;1138.001;101.1842
962;107.333;1139.185;101.1842
963;107.125;1140.369;101.1842
964;106.769;1141.554;101.1842
965;106.667;1142.738;101.1842
966;106.667;1143.922;101.1842
967;106.667;1145.106;101.1842
968;106.667;1146.290;101.1842
969;106.647;1147.474;101.1842
970;106.213;1148.659;101.1842
971;105.778;1149.843;101.1842
972;105.667;1151.027;101.1842
973;105.667;1152.211;101.1842
974;105.667;1153.395;101.1842
975;105.667;1154.580;101.1842
976;105.728;1155.764;101.1842
977;106.162;1156.948;101.1842
978;106.511;1158.132;101.1842
979;106.333;1159.316;101.1842
980;106.333;1160.500;101.1842
981;106.333;1161.685;101.1842
982;106.333;1162.869;101.1842
983;106.333;1164.053;101.1842
984;105.652;1165.237;101.1842
985;105.333;1166.421;101.1842
986;105.198;1167.606;101.1842
987;105.033;1168.790;101.1842
988;105.000;1169.974;101.1842
989;104.938;1171.158;101.1842
990;104.886;1172.342;101.1842
991;105.662;1173.526;101.1842
992;106.557;1174.711;101.1842
993;107.458;1175.895;101.1842
994;107.667;1177.079;101.1842
995;107.667;1178.263;101.1842
996;106.513;1179.447;101.1842
997;104.938;1180.632;101.1842
998;104.630;1181.816;101.1842
999;105.272;1183.000;101.1842
1000;105.120;;
1001;104.949;;
1002;105.000;;
1003;105.000;;
1004;104.456;;
1005;104.060;;
1006;103.762;;
1007;104.388;;
1008;104.656;;
1009;104.458;;
1010;103.557;;
1011;102.667;;
1012;102.667;;
1013;102.667;;
1014;102.667;;
1015;102.667;;
1016;103.183;;
1017;103.249;;
1018;102.460;;
1019;102.171;;
1020;102.000;;
1021;102.000;;
1022;102.000;;
1023;102.824;;
1024;103.000;;
1025;102.243;;
1026;102.000;;
1027;101.906;;
1028;101.232;;
1029;100.980;;
1030;100.414;;
1031;100.000;;
1032;100.000;;
1033;99.310;;
1034;99.192;;
1035;99.890;;
1036;100.669;;
1037;101.565;;
1038;102.340;;
1039;103.000;;
1040;103.000;;
1041;103.000;;
1042;103.000;;
1043;103.137;;
1044;102.727;;
1045;102.333;;
1046;102.622;;
1047;102.834;;
1048;103.110;;
1049;103.333;;
1050;103.333;;
1051;103.369;;
1052;104.368;;
1053;103.993;;
1054;102.805;;
1055;102.079;;
1056;101.513;;
1057;102.049;;
1058;103.135;;
1059;103.688;;
1060;104.333;;
1061;104.333;;
1062;104.333;;
1063;103.465;;
1064;103.333;;
1065;103.333;;
1066;102.762;;
1067;102.333;;
1068;102.333;;
1069;102.242;;
1070;102.000;;
1071;102.000;;
1072;102.000;;
1073;102.206;;
1074;102.641;;
1075;103.000;;
1076;103.000;;
1077;103.000;;
1078;103.000;;
1079;103.000;;
1080;103.000;;
1081;103.000;;
1082;103.000;;
1083;103.000;;
1084;103.000;;
1085;103.000;;
1086;103.000;;
1087;102.978;;
1088;103.390;;
1089;103.667;;
1090;103.667;;
1091;103.640;;
1092;103.205;;
1093;102.771;;
1094;102.130;;
1095;101.894;;
1096;102.632;;
1097;102.514;;
1098;102.333;;
1099;102.333;;
1100;102.333;;
1101;102.333;;
1102;102.333;;
1103;102.333;;
1104;101.784;;
1105;101.333;;
1106;101.333;;
1107;101.850;;
1108;102.333;;
1109;102.285;;
1110;102.427;;
1111;102.572;;
1112;102.516;;
1113;102.261;;
1114;103.374;;
1115;103.667;;
1116;103.110;;
1117;102.667;;
1118;102.667;;
1119;102.996;;
1120;103.897;;
1121;104.790;;
1122;105.138;;
1123;103.802;;
1124;103.301;;
1125;102.131;;
1126;101.667;;
1127;101.667;;
1128;101.667;;
1129;101.667;;
1130;101.673;;
1131;101.667;;
1132;101.667;;
1133;101.927;;
1134;102.377;;
1135;102.667;;
1136;103.315;;
1137;103.667;;
1138;103.817;;
1139;104.000;;
1140;104.173;;
1141;104.210;;
1142;103.814;;
1143;103.380;;
1144;102.945;;
1145;102.511;;
1146;102.076;;
1147;102.560;;
1148;103.000;;
1149;103.000;;
1150;103.000;;
1151;103.000;;
1152;103.000;;
1153;103.000;;
1154;103.000;;
1155;103.000;;
1156;102.731;;
1157;102.297;;
1158;102.473;;
1159;103.374;;
1160;104.002;;
1161;104.539;;
1162;105.000;;
1163;105.310;;
1164;105.090;;
1165;104.220;;
1166;103.319;;
1167;102.418;;
1168;102.000;;
1169;102.385;;
1170;103.000;;
1171;103.187;;
1172;104.000;;
1173;104.000;;
1174;104.000;;
1175;104.000;;
1176;104.692;;
1177;105.000;;
1178;105.000;;
1179;105.396;;
1180;106.000;;
1181;105.828;;
1182;105.467;;
1183;105.000;;
