Distance_(pixels);Gray_Value;X_Fit:_Gaussian;Fit:_Gaussian
210;90.576;248.679;101.1845
211;91.010;249.863;101.1845
212;91.333;251.047;101.1845
213;91.333;252.231;101.1846
214;91.333;253.415;101.1846
215;91.333;254.600;101.1846
216;91.333;255.784;101.1847
217;91.202;256.968;101.1847
218;91.333;258.152;101.1848
219;90.892;259.336;101.1848
220;90.333;260.521;101.1849
221;90.333;261.705;101.1849
222;90.353;262.889;101.1850
223;91.175;264.073;101.1850
224;91.333;265.257;101.1851
225;91.333;266.441;101.1852
226;90.989;267.626;101.1853
227;90.876;268.810;101.1854
228;91.000;269.994;101.1854
229;91.000;271.178;101.1856
230;91.000;272.362;101.1857
231;91.000;273.547;101.1858
232;91.000;274.731;101.1859
233;91.000;275.915;101.1861
234;91.000;277.099;101.1862
235;91.025;278.283;101.1864
236;91.000;279.467;101.1866
237;91.187;280.652;101.1868
238;91.333;281.836;101.1870
239;91.333;283.020;101.1872
240;91.333;284.204;101.1874
241;91.333;285.388;101.1877
242;91.333;286.573;101.1880
243;91.333;287.757;101.1883
244;91.335;288.941;101.1886
245;91.679;290.125;101.1889
246;92.295;291.309;101.1893
247;92.333;292.493;101.1897
248;92.847;293.678;101.1902
249;93.363;294.862;101.1906
250;93.289;296.046;101.1911
251;93.667;297.230;101.1917
252;93.628;298.414;101.1923
253;93.594;299.599;101.1929
254;93.104;300.783;101.1936
255;92.841;301.967;101.1943
256;92.740;303.151;101.1951
257;93.053;304.335;101.1959
258;93.714;305.520;101.1968
259;94.379;306.704;101.1978
260;94.676;307.888;101.1988
261;94.480;309.072;101.1999
262;93.667;310.256;101.2011
263;93.576;311.440;101.2023
264;93.432;312.625;101.2037
265;94.154;313.809;101.2051
266;94.333;314.993;101.2066
267;94.333;316.177;101.2083
268;94.333;317.361;101.2101
269;94.333;318.546;101.2119
270;94.333;319.730;101.2139
271;94.333;320.914;101.2161
272;94.421;322.098;101.2184
273;94.667;323.282;101.2208
274;95.568;324.466;101.2234
275;95.667;325.651;101.2262
276;95.667;326.835;101.2292
277;95.667;328.019;101.2323
278;96.172;329.203;101.2357
279;96.935;330.387;101.2393
280;96.677;331.572;101.2431
281;96.425;332.756;101.2471
282;96.859;333.940;101.2514
283;97.294;335.124;101.2560
284;97.333;336.308;101.2609
285;97.333;337.492;101.2661
286;97.810;338.677;101.2716
287;98.000;339.861;101.2775
288;97.828;341.045;101.2837
289;97.667;342.229;101.2903
290;97.667;343.413;101.2973
291;98.032;344.598;101.3047
292;98.962;345.782;101.3126
293;99.000;346.966;101.3209
294;99.000;348.150;101.3298
295;100.099;349.334;101.3391
296;100.333;350.519;101.3491
297;100.333;351.703;101.3596
298;100.509;352.887;101.3707
299;100.654;354.071;101.3824
300;100.733;355.255;101.3949
301;100.813;356.439;101.4080
302;100.801;357.624;101.4219
303;101.647;358.808;101.4366
304;101.689;359.992;101.4522
305;101.945;361.176;101.4685
306;102.000;362.360;101.4858
307;102.082;363.545;101.5041
308;102.095;364.729;101.5233
309;102.586;365.913;101.5436
310;103.333;367.097;101.5650
311;103.333;368.281;101.5876
312;103.413;369.465;101.6114
313;104.314;370.650;101.6364
314;104.010;371.834;101.6627
