Time (s), T1, T2, T3
0.0000,147.5925,147.5889,147.5925
3.0071,145.2306,145.2256,145.2306
6.0143,142.9131,142.9074,142.9132
9.0214,140.6386,140.6334,140.6388
12.0285,138.4060,138.4027,138.4065
15.0356,136.2146,136.2143,136.2154
18.0428,134.0638,134.0674,134.0649
21.0499,131.9529,131.9613,131.9544
24.0570,129.8814,129.8951,129.8832
27.0641,127.8487,127.8679,127.8507
30.0712,125.8539,125.8791,125.8563
33.0784,123.8966,123.9278,123.8992
36.0855,121.9761,122.0134,121.9789
39.0926,120.0917,120.1350,120.0947
42.0998,118.2428,118.2920,118.2460
45.1069,116.4287,116.4838,116.4321
48.1140,114.6489,114.7095,114.6524
51.1211,112.9026,112.9687,112.9063
54.1283,111.1894,111.2606,111.1931
57.1354,109.5085,109.5847,109.5123
60.1425,107.8594,107.9403,107.8633
63.1496,106.2415,106.3268,106.2455
66.1568,104.6543,104.7437,104.6584
69.1639,103.0971,103.1904,103.1013
72.1710,101.5695,101.6664,101.5737
75.1781,100.0708,100.1711,100.0750
78.1853,98.6006,98.7039,98.6048
81.1924,97.1583,97.2644,97.1625
84.1995,95.7433,95.8521,95.7476
87.2066,94.3553,94.4664,94.3596
90.2138,92.9936,93.1068,92.9979
93.2209,91.6578,91.7729,91.6621
96.2280,90.3474,90.4642,90.3518
99.2351,89.0620,89.1802,89.0663
102.2422,87.8010,87.9205,87.8053
105.2494,86.5640,86.6846,86.5683
108.2565,85.3505,85.4721,85.3548
111.2636,84.1602,84.2825,84.1644
114.2707,82.9925,83.1154,82.9967
117.2779,81.8471,81.9705,81.8513
120.2850,80.7235,80.8472,80.7276
123.2921,79.6213,79.7451,79.6254
126.2993,78.5401,78.6640,78.5442
129.3064,77.4795,77.6034,77.4836
132.3135,76.4392,76.5628,76.4432
135.3206,75.4186,75.5420,75.4226
138.3277,74.4176,74.5406,74.4215
141.3349,73.4356,73.5582,73.4395
144.3420,72.4724,72.5944,72.4762
147.3491,71.5275,71.6489,71.5313
150.3563,70.6007,70.7214,70.6044
153.3634,69.6915,69.8115,69.6952
156.3705,68.7997,68.9189,68.8034
159.3776,67.9249,68.0432,67.9285
162.3847,67.0668,67.1842,67.0704
165.3919,66.2251,66.3415,66.2286
168.3990,65.3994,65.5148,65.4029
171.4061,64.5895,64.7039,64.5930
174.4133,63.7951,63.9083,63.7985
177.4204,63.0158,63.1279,63.0192
180.4275,62.2515,62.3624,62.2548
183.4346,61.5017,61.6114,61.5049
186.4418,60.7662,60.8747,60.7694
189.4489,60.0447,60.1521,60.0479
192.4560,59.3371,59.4431,59.3402
195.4631,58.6429,58.7477,58.6460
198.4702,57.9620,58.0656,57.9651
201.4774,57.2941,57.3964,57.2971
204.4845,56.6390,56.7400,56.6420
207.4916,55.9964,56.0960,55.9993
210.4988,55.3660,55.4644,55.3689
213.5059,54.7477,54.8447,54.7505
216.5130,54.1412,54.2369,54.1440
219.5201,53.5463,53.6407,53.5490
222.5273,52.9628,53.0558,52.9654
225.5344,52.3903,52.4821,52.3930
228.5415,51.8289,51.9193,51.8315
231.5486,51.2781,51.3672,51.2807
234.5557,50.7379,50.8257,50.7404
237.5629,50.2080,50.2945,50.2105
240.5700,49.6882,49.7734,49.6906
243.5771,49.1783,49.2622,49.1807
246.5842,48.6782,48.7608,48.6806
249.5914,48.1876,48.2690,48.1900
252.5985,47.7065,47.7865,47.7087
255.6056,47.2344,47.3133,47.2367
258.6128,46.7715,46.8490,46.7737
261.6199,46.3173,46.3937,46.3195
264.6270,45.8719,45.9470,45.8740
267.6341,45.4349,45.5088,45.4370
270.6413,45.0063,45.0790,45.0083
273.6484,44.5859,44.6574,44.5879
276.6555,44.1735,44.2438,44.1755
279.6626,43.7690,43.8382,43.7709
282.6697,43.3722,43.4402,43.3741
285.6769,42.9830,43.0499,42.9849
288.6840,42.6012,42.6670,42.6031
291.6911,42.2268,42.2914,42.2286
294.6983,41.8594,41.9230,41.8612
297.7054,41.5832,41.6459,41.5849
