Time (s), T1, T2, T3
241.4812,49.6761,49.5095,49.6767
243.0000,49.4165,49.2515,49.4172
244.5187,49.1594,48.9960,49.1601
246.0375,48.9049,48.7430,48.9055
247.5562,48.6528,48.4925,48.6534
249.0750,48.4032,48.2444,48.4038
250.5937,48.1560,47.9987,48.1566
252.1125,47.9112,47.7554,47.9118
253.6312,47.6688,47.5145,47.6694
255.1500,47.4287,47.2759,47.4293
256.6687,47.1910,47.0396,47.1916
258.1875,46.9556,46.8057,46.9562
259.7062,46.7225,46.5740,46.7230
261.2250,46.4916,46.3446,46.4922
262.7437,46.2630,46.1174,46.2636
264.2625,46.0366,45.8924,46.0372
265.7812,45.8125,45.6696,45.8130
267.3000,45.5905,45.4490,45.5910
268.8187,45.3706,45.2305,45.3712
270.3375,45.1529,45.0141,45.1535
271.8562,44.9373,44.7999,44.9379
273.3750,44.7239,44.5877,44.7244
274.8937,44.5124,44.3776,44.5130
276.4125,44.3031,44.1696,44.3036
277.9312,44.0958,43.9635,44.0963
279.4500,43.8905,43.7595,43.8910
280.9687,43.6872,43.5575,43.6877
282.4875,43.4859,43.3574,43.4864
284.0062,43.2865,43.1593,43.2870
285.5250,43.0891,42.9631,43.0896
287.0437,42.8936,42.7688,42.8941
288.5625,42.7000,42.5764,42.7005
290.0812,42.5083,42.3859,42.5087
291.6000,42.3184,42.1972,42.3189
293.1187,42.1304,42.0104,42.1309
294.6375,41.9442,41.8253,41.9447
296.1562,41.7599,41.6421,41.7603
297.6750,41.5773,41.4607,41.5778
299.1937,41.4808,41.3648,41.4813
