Time (s), T1, T2, T3
0.0000,149.6323,149.4892,149.6323
0.4556,149.2656,149.0700,149.2656
0.9112,148.9000,148.6644,148.9000
1.3669,148.5355,148.2665,148.5355
1.8225,148.1720,147.8739,148.1720
2.2781,147.8095,147.4854,147.8095
2.7337,147.4481,147.1002,147.4481
3.1894,147.0878,146.7180,147.0878
3.6450,146.7285,146.3383,146.7285
4.1006,146.3702,145.9609,146.3702
4.5562,146.0130,145.5857,146.0130
5.0119,145.6568,145.2125,145.6568
5.4675,145.3016,144.8412,145.3016
5.9231,144.9475,144.4716,144.9475
6.3788,144.5943,144.1038,144.5944
6.8344,144.2422,143.7376,144.2422
7.2900,143.8911,143.3730,143.8911
7.7456,143.5410,143.0099,143.5410
8.2012,143.1918,142.6483,143.1919
8.6569,142.8437,142.2882,142.8438
9.1125,142.4965,141.9295,142.4966
9.5681,142.1503,141.5722,142.1505
10.0237,141.8051,141.2162,141.8053
10.4794,141.4609,140.8616,141.4611
10.9350,141.1176,140.5083,141.1179
11.3906,140.7753,140.1563,140.7756
11.8462,140.4340,139.8056,140.4343
12.3019,140.0936,139.4562,140.0940
12.7575,139.7542,139.1080,139.7546
13.2131,139.4157,138.7610,139.4161
13.6687,139.0782,138.4152,139.0786
14.1244,138.7416,138.0706,138.7421
14.5800,138.4060,137.7273,138.4065
15.0356,138.0713,137.3851,138.0719
15.4912,137.7376,137.0440,137.7381
15.9469,137.4047,136.7042,137.4054
16.4025,137.0729,136.3654,137.0735
16.8581,136.7419,136.0278,136.7426
17.3137,136.4119,135.6914,136.4126
17.7694,136.0828,135.3560,136.0835
18.2250,135.7546,135.0218,135.7554
18.6806,135.4273,134.6887,135.4282
19.1363,135.1010,134.3566,135.1018
19.5919,134.7755,134.0257,134.7764
20.0475,134.4510,133.6958,134.4520
20.5031,134.1274,133.3670,134.1284
20.9587,133.8047,133.0392,133.8057
21.4144,133.4829,132.7125,133.4839
21.8700,133.1620,132.3869,133.1631
