Time (s), T1, T2, T3
0.0000,149.7547,149.6155,149.7547
0.3037,149.5099,149.3228,149.5099
0.6075,149.2656,149.0419,149.2656
0.9112,149.0218,148.7673,149.0218
1.2150,148.7784,148.4970,148.7784
1.5188,148.5355,148.2300,148.5355
1.8225,148.2930,147.9654,148.2930
2.1263,148.0510,147.7030,148.0510
2.4300,147.8095,147.4425,147.8095
2.7337,147.5685,147.1835,147.5685
3.0375,147.3279,146.9260,147.3279
3.3412,147.0878,146.6698,147.0878
3.6450,146.8482,146.4148,146.8482
3.9487,146.6090,146.1610,146.6090
4.2525,146.3702,145.9082,146.3702
4.5562,146.1320,145.6564,146.1320
4.8600,145.8942,145.4056,145.8942
5.1637,145.6568,145.1557,145.6568
5.4675,145.4199,144.9067,145.4199
5.7713,145.1835,144.6586,145.1835
6.0750,144.9475,144.4112,144.9475
6.3788,144.7120,144.1647,144.7120
6.6825,144.4769,143.9189,144.4769
6.9862,144.2422,143.6739,144.2423
7.2900,144.0080,143.4296,144.0081
7.5937,143.7743,143.1860,143.7743
7.8975,143.5410,142.9431,143.5410
8.2012,143.3081,142.7009,143.3082
8.5050,143.0757,142.4594,143.0758
8.8087,142.8437,142.2186,142.8438
9.1125,142.6121,141.9784,142.6123
9.4162,142.3810,141.7388,142.3812
9.7200,142.1504,141.4999,142.1505
10.0237,141.9201,141.2616,141.9203
10.3275,141.6903,141.0239,141.6905
10.6312,141.4609,140.7869,141.4611
10.9350,141.2320,140.5504,141.2322
11.2387,141.0035,140.3145,141.0037
11.5425,140.7754,140.0793,140.7756
11.8462,140.5477,139.8446,140.5480
12.1500,140.3205,139.6104,140.3208
12.4537,140.0937,139.3769,140.0940
12.7575,139.8673,139.1439,139.8676
13.0612,139.6413,138.9115,139.6417
13.3650,139.4158,138.6796,139.4161
13.6687,139.1906,138.4483,139.1910
13.9725,138.9659,138.2176,138.9664
14.2762,138.7417,137.9873,138.7421
14.5800,138.5178,137.7577,138.5183
14.8837,138.2943,137.5285,138.2949
15.1875,138.0713,137.2999,138.0718
15.4912,137.8487,137.0718,137.8493
15.7950,137.6265,136.8443,137.6271
16.0987,137.4047,136.6172,137.4053
16.4025,137.1834,136.3907,137.1840
16.7063,136.9624,136.1647,136.9631
17.0100,136.7419,135.9392,136.7426
17.3137,136.5217,135.7143,136.5224
17.6175,136.3020,135.4898,136.3028
17.9213,136.0827,135.2658,136.0835
18.2250,135.8638,135.0424,135.8646
18.5287,135.6453,134.8194,135.6461
18.8325,135.4272,134.5969,135.4281
19.1363,135.2096,134.3750,135.2104
19.4400,134.9923,134.1535,134.9932
19.7437,134.7754,133.9325,134.7763
20.0475,134.5590,133.7120,134.5599
20.3513,134.3429,133.4919,134.3439
20.6550,134.1273,133.2724,134.1282
20.9587,133.9120,133.0533,133.9130
21.2625,133.6972,132.8348,133.6982
21.5662,133.4827,132.6166,133.4837
21.8700,133.2687,132.3990,133.2697
22.1737,133.0551,132.1818,133.0561
22.4775,132.8418,131.9652,132.8429
22.7812,132.6290,131.7489,132.6300
23.0850,132.4165,131.5332,132.4176
23.3887,132.2045,131.3179,132.2056
23.6925,131.9928,131.1030,131.9939
23.9962,131.7815,130.8887,131.7827
24.3000,131.5707,130.6748,131.5718
24.6037,131.3602,130.4613,131.3614
24.9075,131.1501,130.2483,131.1513
25.2112,130.9405,130.0358,130.9417
25.5150,130.7312,129.8237,130.7324
25.8187,130.5223,129.6120,130.5235
26.1225,130.3138,129.4008,130.3150
26.4262,130.1056,129.1901,130.1069
26.7300,129.8979,128.9798,129.8992
27.0338,129.6906,128.7699,129.6919
27.3375,129.4836,128.5605,129.4849
27.6412,129.2771,128.3515,129.2784
27.9450,129.0709,128.1430,129.0722
28.2488,128.8651,127.9349,128.8664
28.5525,128.6597,127.7273,128.6610
28.8562,128.4547,127.5200,128.4560
29.1600,128.2501,127.3132,128.2514
29.4638,128.0458,127.1069,128.0472
29.7675,127.8420,126.9010,127.8433
30.0712,127.6385,126.6955,127.6398
30.3750,127.4354,126.4904,127.4368
30.6788,127.2327,126.2858,127.2340
30.9825,127.0303,126.0816,127.0317
31.2862,126.8284,125.8778,126.8298
31.5900,126.6268,125.6744,126.6282
31.8937,126.4256,125.4715,126.4270
32.1975,126.2248,125.2689,126.2262
32.5012,126.0243,125.0668,126.0257
32.8050,125.8243,124.8651,125.8257
33.1088,125.6246,124.6639,125.6260
33.4125,125.4253,124.4630,125.4267
33.7162,125.2263,124.2626,125.2278
34.0200,125.0278,124.0626,125.0292
34.3237,124.8296,123.8630,124.8310
34.6275,124.6318,123.6638,124.6332
34.9312,124.4343,123.4650,124.4358
35.2350,124.2373,123.2666,124.2387
35.5387,124.0406,123.0686,124.0420
35.8425,123.8442,122.8711,123.8457
36.1462,123.6483,122.6739,123.6497
36.4500,123.4527,122.4771,123.4541
36.7537,123.2575,122.2808,123.2589
37.0575,123.0626,122.0848,123.0640
37.3612,122.8681,121.8893,122.8696
37.6650,122.6740,121.6941,122.6754
37.9687,122.4803,121.4994,122.4817
38.2725,122.2869,121.3050,122.2883
38.5762,122.0939,121.1111,122.0953
38.8800,121.9012,120.9175,121.9026
39.1838,121.7089,120.7243,121.7103
39.4875,121.5170,120.5316,121.5184
39.7912,121.3254,120.3392,121.3268
40.0950,121.1342,120.1472,121.1356
40.3987,120.9434,119.9556,120.9448
40.7025,120.7529,119.7644,120.7543
41.0063,120.5628,119.5736,120.5642
41.3100,120.3731,119.3831,120.3744
41.6137,120.1837,119.1931,120.1850
41.9175,119.9946,119.0034,119.9960
42.2212,119.8059,118.8142,119.8073
42.5250,119.6176,118.6253,119.6190
42.8287,119.4297,118.4368,119.4310
43.1325,119.2421,118.2486,119.2434
43.4363,119.0548,118.0609,119.0561
43.7400,118.8679,117.8735,118.8692
44.0437,118.6814,117.6865,118.6827
44.3475,118.4952,117.4999,118.4965
44.6512,118.3093,117.3137,118.3106
44.9550,118.1238,117.1278,118.1252
45.2587,117.9387,116.9424,117.9400
45.5625,117.7539,116.7572,117.7552
45.8662,117.5695,116.5725,117.5708
46.1700,117.3854,116.3881,117.3867
46.4737,117.2017,116.2042,117.2030
46.7775,117.0183,116.0205,117.0196
47.0812,116.8353,115.8373,116.8365
47.3850,116.6526,115.6544,116.6539
47.6887,116.4703,115.4719,116.4715
47.9925,116.2883,115.2898,116.2895
48.2962,116.1066,115.1080,116.1079
48.6000,115.9253,114.9266,115.9266
48.9037,115.7444,114.7455,115.7456
49.2075,115.5638,114.5648,115.5650
49.5112,115.3835,114.3845,115.3847
49.8150,115.2036,114.2045,115.2048
50.1187,115.0240,114.0250,115.0252
50.4225,114.8448,113.8457,114.8460
50.7262,114.6659,113.6668,114.6671
51.0300,114.4873,113.4883,114.4885
51.3338,114.3091,113.3102,114.3103
51.6375,114.1313,113.1323,114.1324
51.9412,113.9537,112.9549,113.9548
52.2450,113.7765,112.7778,113.7776
52.5487,113.5997,112.6011,113.6008
52.8525,113.4232,112.4247,113.4243
53.1562,113.2470,112.2486,113.2481
53.4600,113.0711,112.0730,113.0722
53.7638,112.8956,111.8976,112.8967
54.0675,112.7205,111.7227,112.7215
54.3712,112.5456,111.5480,112.5466
54.6750,112.3711,111.3738,112.3721
54.9787,112.1969,111.1998,112.1979
55.2825,112.0231,111.0262,112.0241
55.5862,111.8496,110.8530,111.8506
55.8900,111.6764,110.6801,111.6774
56.1937,111.5036,110.5076,111.5045
56.4975,111.3311,110.3354,111.3320
56.8012,111.1589,110.1635,111.1598
57.1050,110.9870,109.9920,110.9880
57.4087,110.8155,109.8208,110.8164
57.7125,110.6443,109.6500,110.6452
58.0162,110.4734,109.4795,110.4743
58.3200,110.3029,109.3094,110.3038
58.6237,110.1327,109.1395,110.1335
58.9275,109.9628,108.9701,109.9636
59.2313,109.7932,108.8009,109.7941
59.5350,109.6240,108.6321,109.6248
59.8387,109.4550,108.4637,109.4559
60.1425,109.2865,108.2955,109.2873
60.4462,109.1182,108.1278,109.1190
60.7500,108.9502,107.9603,108.9511
61.0537,108.7826,107.7932,108.7834
61.3575,108.6153,107.6264,108.6161
61.6613,108.4483,107.4599,108.4491
61.9650,108.2817,107.2938,108.2824
62.2687,108.1153,107.1280,108.1161
62.5725,107.9493,106.9625,107.9500
62.8762,107.7836,106.7974,107.7843
63.1800,107.6182,106.6326,107.6189
63.4837,107.4531,106.4681,107.4539
63.7875,107.2884,106.3039,107.2891
64.0913,107.1239,106.1401,107.1246
64.3950,106.9598,105.9766,106.9605
64.6987,106.7960,105.8134,106.7967
65.0025,106.6325,105.6505,106.6332
65.3063,106.4694,105.4880,106.4700
65.6100,106.3065,105.3258,106.3071
65.9137,106.1439,105.1639,106.1446
66.2175,105.9817,105.0023,105.9823
66.5212,105.8198,104.8411,105.8204
66.8250,105.6582,104.6802,105.6588
67.1287,105.4969,104.5195,105.4974
