% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 777.8 ms, time offset -18.37 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level 335.9 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-02-12 T 09:53:25 -0500
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-2.966000400000e-01, 5.129458e-01, 3.663899e-03
-2.958374320000e-01, 4.824133e-01, 2.442599e-03
-2.950748240000e-01, 4.946263e-01, 2.442599e-03
-2.943122160000e-01, 5.068393e-01, 2.442599e-03
-2.935496080000e-01, 5.068393e-01, 3.663899e-03
-2.927870000000e-01, 4.763068e-01, 3.663899e-03
-2.920243920000e-01, 4.763068e-01, 2.442599e-03
-2.912617840000e-01, 4.763068e-01, 2.442599e-03
-2.904991760000e-01, 5.007328e-01, 2.442599e-03
-2.897365680000e-01, 5.190523e-01, 3.663899e-03
-2.889739600000e-01, 4.946263e-01, 2.442599e-03
-2.882113520000e-01, 4.946263e-01, 2.442599e-03
-2.874487440000e-01, 5.007328e-01, 3.663899e-03
-2.866861360000e-01, 4.885198e-01, 2.442599e-03
-2.859235280000e-01, 5.007328e-01, 2.442599e-03
-2.851609200000e-01, 4.824133e-01, 3.663899e-03
-2.843983120000e-01, 4.885198e-01, 2.442599e-03
-2.836357040000e-01, 5.190523e-01, 3.663899e-03
-2.828730960000e-01, 5.251588e-01, 2.442599e-03
-2.821104880000e-01, 5.251588e-01, 2.442599e-03
-2.813478800000e-01, 5.129458e-01, 2.442599e-03
-2.805852720000e-01, 4.946263e-01, 2.442599e-03
-2.798226640000e-01, 5.068393e-01, 2.442599e-03
-2.790600560000e-01, 5.129458e-01, 2.442599e-03
-2.782974480000e-01, 5.068393e-01, 3.663899e-03
-2.775348400000e-01, 4.946263e-01, 2.442599e-03
-2.767722320000e-01, 5.068393e-01, 3.663899e-03
-2.760096240000e-01, 5.129458e-01, 3.663899e-03
-2.752470160000e-01, 5.007328e-01, 2.442599e-03
-2.744844080000e-01, 4.824133e-01, 2.442599e-03
-2.737218000000e-01, 4.946263e-01, 2.442599e-03
-2.729591920000e-01, 5.007328e-01, 2.442599e-03
-2.721965840000e-01, 4.824133e-01, 2.442599e-03
-2.714339760000e-01, 4.885198e-01, 2.442599e-03
-2.706713680000e-01, 5.129458e-01, 4.885198e-03
